Geographic identifier code,Id2,Geographic area name,Year,Tax Type,Meaning of Tax Type,"Amount ($1,000)"
0400000US01,1,Alabama,2016,1121,Total Taxes,10022951
0400000US01,1,Alabama,2016,11211,Property Taxes,352378
0400000US01,1,Alabama,2016,11212,Sales and Gross Receipts Taxes,5106102
0400000US01,1,Alabama,2016,112123,License Taxes,507479
0400000US01,1,Alabama,2016,112124,Income Taxes,3966640
0400000US01,1,Alabama,2016,112125,Other Taxes,90352
0400000US02,2,Alaska,2016,1121,Total Taxes,897369
0400000US02,2,Alaska,2016,11211,Property Taxes,111736
0400000US02,2,Alaska,2016,11212,Sales and Gross Receipts Taxes,260846
0400000US02,2,Alaska,2016,112123,License Taxes,120529
0400000US02,2,Alaska,2016,112124,Income Taxes,67457
0400000US02,2,Alaska,2016,112125,Other Taxes,336801
0400000US04,4,Arizona,2016,1121,Total Taxes,13680421
0400000US04,4,Arizona,2016,11211,Property Taxes,943008
0400000US04,4,Arizona,2016,11212,Sales and Gross Receipts Taxes,8315805
0400000US04,4,Arizona,2016,112123,License Taxes,482362
0400000US04,4,Arizona,2016,112124,Income Taxes,3906722
0400000US04,4,Arizona,2016,112125,Other Taxes,32524
0400000US05,5,Arkansas,2016,1121,Total Taxes,9430833
0400000US05,5,Arkansas,2016,11211,Property Taxes,1097908
0400000US05,5,Arkansas,2016,11212,Sales and Gross Receipts Taxes,4590072
0400000US05,5,Arkansas,2016,112123,License Taxes,396891
0400000US05,5,Arkansas,2016,112124,Income Taxes,3231617
0400000US05,5,Arkansas,2016,112125,Other Taxes,114345
0400000US06,6,California,2016,1121,Total Taxes,155191714
0400000US06,6,California,2016,11211,Property Taxes,2513157
0400000US06,6,California,2016,11212,Sales and Gross Receipts Taxes,51602180
0400000US06,6,California,2016,112123,License Taxes,10275132
0400000US06,6,California,2016,112124,Income Taxes,90655530
0400000US06,6,California,2016,112125,Other Taxes,145715
0400000US08,8,Colorado,2016,1121,Total Taxes,13021449
0400000US08,8,Colorado,2016,11211,Property Taxes,
0400000US08,8,Colorado,2016,11212,Sales and Gross Receipts Taxes,5122992
0400000US08,8,Colorado,2016,112123,License Taxes,702667
0400000US08,8,Colorado,2016,112124,Income Taxes,7111711
0400000US08,8,Colorado,2016,112125,Other Taxes,84079
0400000US09,9,Connecticut,2016,1121,Total Taxes,15290134
0400000US09,9,Connecticut,2016,11211,Property Taxes,
0400000US09,9,Connecticut,2016,11212,Sales and Gross Receipts Taxes,6148944
0400000US09,9,Connecticut,2016,112123,License Taxes,455454
0400000US09,9,Connecticut,2016,112124,Income Taxes,8322645
0400000US09,9,Connecticut,2016,112125,Other Taxes,363091
0400000US10,10,Delaware,2016,1121,Total Taxes,3522301
0400000US10,10,Delaware,2016,11211,Property Taxes,
0400000US10,10,Delaware,2016,11212,Sales and Gross Receipts Taxes,539193
0400000US10,10,Delaware,2016,112123,License Taxes,1452596
0400000US10,10,Delaware,2016,112124,Income Taxes,1430520
0400000US10,10,Delaware,2016,112125,Other Taxes,99992
0400000US11,11,District of Columbia,2016,1121,Total Taxes,7404521
0400000US11,11,District of Columbia,2016,11211,Property Taxes,2416604
0400000US11,11,District of Columbia,2016,11212,Sales and Gross Receipts Taxes,1783981
0400000US11,11,District of Columbia,2016,112123,License Taxes,180380
0400000US11,11,District of Columbia,2016,112124,Income Taxes,2464330
0400000US11,11,District of Columbia,2016,112125,Other Taxes,559226
0400000US12,12,Florida,2016,1121,Total Taxes,37767500
0400000US12,12,Florida,2016,11211,Property Taxes,
0400000US12,12,Florida,2016,11212,Sales and Gross Receipts Taxes,30556402
0400000US12,12,Florida,2016,112123,License Taxes,2241468
0400000US12,12,Florida,2016,112124,Income Taxes,2272230
0400000US12,12,Florida,2016,112125,Other Taxes,2697400
0400000US13,13,Georgia,2016,1121,Total Taxes,21454961
0400000US13,13,Georgia,2016,11211,Property Taxes,961881
0400000US13,13,Georgia,2016,11212,Sales and Gross Receipts Taxes,8408456
0400000US13,13,Georgia,2016,112123,License Taxes,663946
0400000US13,13,Georgia,2016,112124,Income Taxes,11420536
0400000US13,13,Georgia,2016,112125,Other Taxes,142
0400000US15,15,Hawaii,2016,1121,Total Taxes,6919035
0400000US15,15,Hawaii,2016,11211,Property Taxes,
0400000US15,15,Hawaii,2016,11212,Sales and Gross Receipts Taxes,4315902
0400000US15,15,Hawaii,2016,112123,License Taxes,263130
0400000US15,15,Hawaii,2016,112124,Income Taxes,2224299
0400000US15,15,Hawaii,2016,112125,Other Taxes,115704
0400000US16,16,Idaho,2016,1121,Total Taxes,4209366
0400000US16,16,Idaho,2016,11211,Property Taxes,
0400000US16,16,Idaho,2016,11212,Sales and Gross Receipts Taxes,2120946
0400000US16,16,Idaho,2016,112123,License Taxes,372883
0400000US16,16,Idaho,2016,112124,Income Taxes,1710234
0400000US16,16,Idaho,2016,112125,Other Taxes,5303
0400000US17,17,Illinois,2016,1121,Total Taxes,38907220
0400000US17,17,Illinois,2016,11211,Property Taxes,60814
0400000US17,17,Illinois,2016,11212,Sales and Gross Receipts Taxes,18524265
0400000US17,17,Illinois,2016,112123,License Taxes,2745949
0400000US17,17,Illinois,2016,112124,Income Taxes,17173986
0400000US17,17,Illinois,2016,112125,Other Taxes,402206
0400000US18,18,Indiana,2016,1121,Total Taxes,17632420
0400000US18,18,Indiana,2016,11211,Property Taxes,10699
0400000US18,18,Indiana,2016,11212,Sales and Gross Receipts Taxes,10662434
0400000US18,18,Indiana,2016,112123,License Taxes,704869
0400000US18,18,Indiana,2016,112124,Income Taxes,6252533
0400000US18,18,Indiana,2016,112125,Other Taxes,1885
0400000US19,19,Iowa,2016,1121,Total Taxes,9565099
0400000US19,19,Iowa,2016,11211,Property Taxes,1410
0400000US19,19,Iowa,2016,11212,Sales and Gross Receipts Taxes,4597957
0400000US19,19,Iowa,2016,112123,License Taxes,925958
0400000US19,19,Iowa,2016,112124,Income Taxes,3930190
0400000US19,19,Iowa,2016,112125,Other Taxes,109584
0400000US20,20,Kansas,2016,1121,Total Taxes,8058949
0400000US20,20,Kansas,2016,11211,Property Taxes,663841
0400000US20,20,Kansas,2016,11212,Sales and Gross Receipts Taxes,4324953
0400000US20,20,Kansas,2016,112123,License Taxes,396648
0400000US20,20,Kansas,2016,112124,Income Taxes,2623779
0400000US20,20,Kansas,2016,112125,Other Taxes,49728
0400000US21,21,Kentucky,2016,1121,Total Taxes,11646041
0400000US21,21,Kentucky,2016,11211,Property Taxes,563435
0400000US21,21,Kentucky,2016,11212,Sales and Gross Receipts Taxes,5495366
0400000US21,21,Kentucky,2016,112123,License Taxes,490985
0400000US21,21,Kentucky,2016,112124,Income Taxes,4821411
0400000US21,21,Kentucky,2016,112125,Other Taxes,274844
0400000US22,22,Louisiana,2016,1121,Total Taxes,9498007
0400000US22,22,Louisiana,2016,11211,Property Taxes,62273
0400000US22,22,Louisiana,2016,11212,Sales and Gross Receipts Taxes,5541241
0400000US22,22,Louisiana,2016,112123,License Taxes,400191
0400000US22,22,Louisiana,2016,112124,Income Taxes,3038035
0400000US22,22,Louisiana,2016,112125,Other Taxes,456267
0400000US23,23,Maine,2016,1121,Total Taxes,4130242
0400000US23,23,Maine,2016,11211,Property Taxes,35425
0400000US23,23,Maine,2016,11212,Sales and Gross Receipts Taxes,2077913
0400000US23,23,Maine,2016,112123,License Taxes,272253
0400000US23,23,Maine,2016,112124,Income Taxes,1689129
0400000US23,23,Maine,2016,112125,Other Taxes,55522
0400000US24,24,Maryland,2016,1121,Total Taxes,20894199
0400000US24,24,Maryland,2016,11211,Property Taxes,748389
0400000US24,24,Maryland,2016,11212,Sales and Gross Receipts Taxes,8939430
0400000US24,24,Maryland,2016,112123,License Taxes,884363
0400000US24,24,Maryland,2016,112124,Income Taxes,9646537
0400000US24,24,Maryland,2016,112125,Other Taxes,675480
0400000US25,25,Massachusetts,2016,1121,Total Taxes,27283005
0400000US25,25,Massachusetts,2016,11211,Property Taxes,5818
0400000US25,25,Massachusetts,2016,11212,Sales and Gross Receipts Taxes,8683866
0400000US25,25,Massachusetts,2016,112123,License Taxes,1122219
0400000US25,25,Massachusetts,2016,112124,Income Taxes,16764223
0400000US25,25,Massachusetts,2016,112125,Other Taxes,706879
0400000US26,26,Michigan,2016,1121,Total Taxes,27608542
0400000US26,26,Michigan,2016,11211,Property Taxes,2060543
0400000US26,26,Michigan,2016,11212,Sales and Gross Receipts Taxes,13331382
0400000US26,26,Michigan,2016,112123,License Taxes,1648758
0400000US26,26,Michigan,2016,112124,Income Taxes,10254907
0400000US26,26,Michigan,2016,112125,Other Taxes,312952
0400000US27,27,Minnesota,2016,1121,Total Taxes,25189128
0400000US27,27,Minnesota,2016,11211,Property Taxes,849824
0400000US27,27,Minnesota,2016,11212,Sales and Gross Receipts Taxes,10120647
0400000US27,27,Minnesota,2016,112123,License Taxes,1426235
0400000US27,27,Minnesota,2016,112124,Income Taxes,12248267
0400000US27,27,Minnesota,2016,112125,Other Taxes,544155
0400000US28,28,Mississippi,2016,1121,Total Taxes,7660391
0400000US28,28,Mississippi,2016,11211,Property Taxes,26725
0400000US28,28,Mississippi,2016,11212,Sales and Gross Receipts Taxes,4777794
0400000US28,28,Mississippi,2016,112123,License Taxes,553510
0400000US28,28,Mississippi,2016,112124,Income Taxes,2263164
0400000US28,28,Mississippi,2016,112125,Other Taxes,39198
0400000US29,29,Missouri,2016,1121,Total Taxes,12297119
0400000US29,29,Missouri,2016,11211,Property Taxes,30892
0400000US29,29,Missouri,2016,11212,Sales and Gross Receipts Taxes,5302264
0400000US29,29,Missouri,2016,112123,License Taxes,599276
0400000US29,29,Missouri,2016,112124,Income Taxes,6352437
0400000US29,29,Missouri,2016,112125,Other Taxes,12250
0400000US30,30,Montana,2016,1121,Total Taxes,2627943
0400000US30,30,Montana,2016,11211,Property Taxes,278497
0400000US30,30,Montana,2016,11212,Sales and Gross Receipts Taxes,562474
0400000US30,30,Montana,2016,112123,License Taxes,319020
0400000US30,30,Montana,2016,112124,Income Taxes,1300011
0400000US30,30,Montana,2016,112125,Other Taxes,167941
0400000US31,31,Nebraska,2016,1121,Total Taxes,5117133
0400000US31,31,Nebraska,2016,11211,Property Taxes,123
0400000US31,31,Nebraska,2016,11212,Sales and Gross Receipts Taxes,2362718
0400000US31,31,Nebraska,2016,112123,License Taxes,185082
0400000US31,31,Nebraska,2016,112124,Income Taxes,2552391
0400000US31,31,Nebraska,2016,112125,Other Taxes,16819
0400000US32,32,Nevada,2016,1121,Total Taxes,8026362
0400000US32,32,Nevada,2016,11211,Property Taxes,280055
0400000US32,32,Nevada,2016,11212,Sales and Gross Receipts Taxes,6347777
0400000US32,32,Nevada,2016,112123,License Taxes,652383
0400000US32,32,Nevada,2016,112124,Income Taxes,
0400000US32,32,Nevada,2016,112125,Other Taxes,746147
0400000US33,33,New Hampshire,2016,1121,Total Taxes,2641946
0400000US33,33,New Hampshire,2016,11211,Property Taxes,406394
0400000US33,33,New Hampshire,2016,11212,Sales and Gross Receipts Taxes,982832
0400000US33,33,New Hampshire,2016,112123,License Taxes,329549
0400000US33,33,New Hampshire,2016,112124,Income Taxes,788210
0400000US33,33,New Hampshire,2016,112125,Other Taxes,134961
0400000US34,34,New Jersey,2016,1121,Total Taxes,31546720
0400000US34,34,New Jersey,2016,11211,Property Taxes,4638
0400000US34,34,New Jersey,2016,11212,Sales and Gross Receipts Taxes,13173332
0400000US34,34,New Jersey,2016,112123,License Taxes,1499889
0400000US34,34,New Jersey,2016,112124,Income Taxes,15585479
0400000US34,34,New Jersey,2016,112125,Other Taxes,1283382
0400000US35,35,New Mexico,2016,1121,Total Taxes,5275438
0400000US35,35,New Mexico,2016,11211,Property Taxes,37084
0400000US35,35,New Mexico,2016,11212,Sales and Gross Receipts Taxes,2930004
0400000US35,35,New Mexico,2016,112123,License Taxes,342527
0400000US35,35,New Mexico,2016,112124,Income Taxes,1406524
0400000US35,35,New Mexico,2016,112125,Other Taxes,559299
0400000US36,36,New York,2016,1121,Total Taxes,81349860
0400000US36,36,New York,2016,11211,Property Taxes,
0400000US36,36,New York,2016,11212,Sales and Gross Receipts Taxes,24790017
0400000US36,36,New York,2016,112123,License Taxes,1794988
0400000US36,36,New York,2016,112124,Income Taxes,50686339
