Geographic identifier code,Id2,Geographic area name,Year,Tax Type,Meaning of Tax Type,"Amount ($1,000)"
0400000US36,36,New York,2016,112125,Other Taxes,4078516
0400000US37,37,North Carolina,2016,1121,Total Taxes,26212531
0400000US37,37,North Carolina,2016,11211,Property Taxes,
0400000US37,37,North Carolina,2016,11212,Sales and Gross Receipts Taxes,11149894
0400000US37,37,North Carolina,2016,112123,License Taxes,1878827
0400000US37,37,North Carolina,2016,112124,Income Taxes,13109468
0400000US37,37,North Carolina,2016,112125,Other Taxes,74342
0400000US38,38,North Dakota,2016,1121,Total Taxes,3709105
0400000US38,38,North Dakota,2016,11211,Property Taxes,3910
0400000US38,38,North Dakota,2016,11212,Sales and Gross Receipts Taxes,1496824
0400000US38,38,North Dakota,2016,112123,License Taxes,204055
0400000US38,38,North Dakota,2016,112124,Income Taxes,454194
0400000US38,38,North Dakota,2016,112125,Other Taxes,1550122
0400000US39,39,Ohio,2016,1121,Total Taxes,28694883
0400000US39,39,Ohio,2016,11211,Property Taxes,
0400000US39,39,Ohio,2016,11212,Sales and Gross Receipts Taxes,18231167
0400000US39,39,Ohio,2016,112123,License Taxes,2223747
0400000US39,39,Ohio,2016,112124,Income Taxes,8202432
0400000US39,39,Ohio,2016,112125,Other Taxes,37537
0400000US40,40,Oklahoma,2016,1121,Total Taxes,8818503
0400000US40,40,Oklahoma,2016,11211,Property Taxes,
0400000US40,40,Oklahoma,2016,11212,Sales and Gross Receipts Taxes,3778399
0400000US40,40,Oklahoma,2016,112123,License Taxes,1038699
0400000US40,40,Oklahoma,2016,112124,Income Taxes,3652437
0400000US40,40,Oklahoma,2016,112125,Other Taxes,348968
0400000US41,41,Oregon,2016,1121,Total Taxes,10970051
0400000US41,41,Oregon,2016,11211,Property Taxes,20587
0400000US41,41,Oregon,2016,11212,Sales and Gross Receipts Taxes,1513201
0400000US41,41,Oregon,2016,112123,License Taxes,1048709
0400000US41,41,Oregon,2016,112124,Income Taxes,8245616
0400000US41,41,Oregon,2016,112125,Other Taxes,141938
0400000US42,42,Pennsylvania,2016,1121,Total Taxes,37394589
0400000US42,42,Pennsylvania,2016,11211,Property Taxes,43124
0400000US42,42,Pennsylvania,2016,11212,Sales and Gross Receipts Taxes,19284374
0400000US42,42,Pennsylvania,2016,112123,License Taxes,2159170
0400000US42,42,Pennsylvania,2016,112124,Income Taxes,14388463
0400000US42,42,Pennsylvania,2016,112125,Other Taxes,1519458
0400000US44,44,Rhode Island,2016,1121,Total Taxes,3245562
0400000US44,44,Rhode Island,2016,11211,Property Taxes,2544
0400000US44,44,Rhode Island,2016,11212,Sales and Gross Receipts Taxes,1665438
0400000US44,44,Rhode Island,2016,112123,License Taxes,100771
0400000US44,44,Rhode Island,2016,112124,Income Taxes,1380463
0400000US44,44,Rhode Island,2016,112125,Other Taxes,96346
0400000US45,45,South Carolina,2016,1121,Total Taxes,9457330
0400000US45,45,South Carolina,2016,11211,Property Taxes,32670
0400000US45,45,South Carolina,2016,11212,Sales and Gross Receipts Taxes,4525200
0400000US45,45,South Carolina,2016,112123,License Taxes,507760
0400000US45,45,South Carolina,2016,112124,Income Taxes,4277639
0400000US45,45,South Carolina,2016,112125,Other Taxes,114061
0400000US46,46,South Dakota,2016,1121,Total Taxes,1748047
0400000US46,46,South Dakota,2016,11211,Property Taxes,
0400000US46,46,South Dakota,2016,11212,Sales and Gross Receipts Taxes,1440041
0400000US46,46,South Dakota,2016,112123,License Taxes,268724
0400000US46,46,South Dakota,2016,112124,Income Taxes,32684
0400000US46,46,South Dakota,2016,112125,Other Taxes,6598
0400000US47,47,Tennessee,2016,1121,Total Taxes,13386169
0400000US47,47,Tennessee,2016,11211,Property Taxes,
0400000US47,47,Tennessee,2016,11212,Sales and Gross Receipts Taxes,9704247
0400000US47,47,Tennessee,2016,112123,License Taxes,1516966
0400000US47,47,Tennessee,2016,112124,Income Taxes,1862601
0400000US47,47,Tennessee,2016,112125,Other Taxes,302355
0400000US48,48,Texas,2016,1121,Total Taxes,52132817
0400000US48,48,Texas,2016,11211,Property Taxes,
0400000US48,48,Texas,2016,11212,Sales and Gross Receipts Taxes,46370774
0400000US48,48,Texas,2016,112123,License Taxes,3414335
0400000US48,48,Texas,2016,112124,Income Taxes,
0400000US48,48,Texas,2016,112125,Other Taxes,2347708
0400000US49,49,Utah,2016,1121,Total Taxes,7082961
0400000US49,49,Utah,2016,11211,Property Taxes,
0400000US49,49,Utah,2016,11212,Sales and Gross Receipts Taxes,3031819
0400000US49,49,Utah,2016,112123,License Taxes,290426
0400000US49,49,Utah,2016,112124,Income Taxes,3707893
0400000US49,49,Utah,2016,112125,Other Taxes,52823
0400000US50,50,Vermont,2016,1121,Total Taxes,3085865
0400000US50,50,Vermont,2016,11211,Property Taxes,1056323
0400000US50,50,Vermont,2016,11212,Sales and Gross Receipts Taxes,1031257
0400000US50,50,Vermont,2016,112123,License Taxes,117328
0400000US50,50,Vermont,2016,112124,Income Taxes,828322
0400000US50,50,Vermont,2016,112125,Other Taxes,52635
0400000US51,51,Virginia,2016,1121,Total Taxes,21213280
0400000US51,51,Virginia,2016,11211,Property Taxes,30367
0400000US51,51,Virginia,2016,11212,Sales and Gross Receipts Taxes,6879901
0400000US51,51,Virginia,2016,112123,License Taxes,826306
0400000US51,51,Virginia,2016,112124,Income Taxes,12990685
0400000US51,51,Virginia,2016,112125,Other Taxes,486021
0400000US53,53,Washington,2016,1121,Total Taxes,22280088
0400000US53,53,Washington,2016,11211,Property Taxes,2062065
0400000US53,53,Washington,2016,11212,Sales and Gross Receipts Taxes,17636031
0400000US53,53,Washington,2016,112123,License Taxes,1461200
0400000US53,53,Washington,2016,112124,Income Taxes,
0400000US53,53,Washington,2016,112125,Other Taxes,1120792
0400000US54,54,West Virginia,2016,1121,Total Taxes,5127970
0400000US54,54,West Virginia,2016,11211,Property Taxes,6957
0400000US54,54,West Virginia,2016,11212,Sales and Gross Receipts Taxes,2566690
0400000US54,54,West Virginia,2016,112123,License Taxes,128478
0400000US54,54,West Virginia,2016,112124,Income Taxes,1990391
0400000US54,54,West Virginia,2016,112125,Other Taxes,435454
0400000US55,55,Wisconsin,2016,1121,Total Taxes,17649467
0400000US55,55,Wisconsin,2016,11211,Property Taxes,170537
0400000US55,55,Wisconsin,2016,11212,Sales and Gross Receipts Taxes,7763441
0400000US55,55,Wisconsin,2016,112123,License Taxes,1151656
0400000US55,55,Wisconsin,2016,112124,Income Taxes,8473461
0400000US55,55,Wisconsin,2016,112125,Other Taxes,90372
0400000US56,56,Wyoming,2016,1121,Total Taxes,1913607
0400000US56,56,Wyoming,2016,11211,Property Taxes,338776
0400000US56,56,Wyoming,2016,11212,Sales and Gross Receipts Taxes,820146
0400000US56,56,Wyoming,2016,112123,License Taxes,157086
0400000US56,56,Wyoming,2016,112124,Income Taxes,
0400000US56,56,Wyoming,2016,112125,Other Taxes,597599
