Geographic area name,Year,"Total revenue ($1,000)","Revenue - From federal sources ($1,000)","Revenue - From state sources ($1,000)","Revenue - From local sources ($1,000)","Total ependiture ($1,000)","Ependiture - Current spending ($1,000)","Ependiture - Capital outlay ($1,000)","Ependiture - Other ($1,000)","Debt outstanding at end of fiscal year ($1,000)","Cash and securities ($1,000)"
Missouri,2014,10163998,895743,4267069,5001186,10204480,9004641,919482,280357,6836162,4626511
Missouri,2015,10536780,948600,4441091,5147089,10426212,9269713,869078,287421,6959075,4782299
Missouri,2016,10806710,924655,4568867,5313188,10615933,9417531,890008,308394,7144070,4919439
Minnesota,2015,11533096,629909,7567199,3335988,11802631,10085128,1328863,388640,11537967,5209333
Washington,2015,13609674,1036422,8293812,4279440,13586886,11566562,1601069,419255,10121815,5377390
Georgia,2015,18580802,1831221,8310872,8438709,18491168,16401832,1879063,210273,4025984,5518927
Michigan,2014,17529062,1563397,10073758,5891907,17098757,15425529,856907,816321,17942709,5571876
Georgia,2014,17817933,1804212,7837335,8176386,17658341,15800788,1642099,215454,4652152,5727534
Washington,2016,14854084,1097684,9211201,4545199,15207550,12569546,2204059,433945,11419958,6400289
Georgia,2016,19399889,1807371,8771192,8821326,19147669,17118329,1834767,194573,4541784,6417716
Minnesota,2016,12036272,634332,7887346,3514594,12679786,10520027,1743709,416050,13436512,6572659
Michigan,2015,18061614,1582706,10510346,5968562,17452429,15712267,967476,772686,16804727,6824057
Florida,2015,26965611,3118041,10661586,13185984,27277049,24933433,1681665,661951,14775644,7477307
Florida,2014,26072680,3112027,10460928,12499725,26523658,24279963,1468023,775672,15304653,8289299
Florida,2016,28119997,3147329,10963807,14008861,27945116,25339845,1983363,621908,14654281,8605457
Ohio,2014,22423472,1692769,9492461,11238242,21691156,19361019,1546152,783985,10468075,8991608
Michigan,2016,18456737,1552824,10727785,6176128,17731509,15860412,1062838,808259,18153482,9255814
Pennsylvania,2014,27647475,1812609,10272392,15562474,27036390,24405142,1566997,1064251,25063297,9492854
Pennsylvania,2016,29645080,1904293,11181046,16559741,28990299,26261079,1793713,935507,24374166,9777819
Pennsylvania,2015,28509946,1857885,10532452,16119609,27976587,25305395,1663209,1007983,26353930,9951725
Ohio,2015,22535797,1676820,9215276,11643701,22399589,19867256,1750785,781548,11307658,10071144
New York,2014,61100409,3347393,24830862,32922154,62271617,57066225,4060304,1145088,31118521,10396574
New York,2015,63463118,2869847,25900858,34692413,64798836,59209906,4536014,1052916,31664822,10595345
New York,2016,66664079,3369803,27437593,35856683,67977836,61447337,4656189,1874310,29762691,10793743
Ohio,2016,22886040,1680983,9277802,11927255,23201744,20561122,1854842,785780,12519984,11056739
Illinois,2015,31403190,2262192,11858968,17282030,31544250,28584939,2056951,902360,20681383,15035521
Illinois,2014,30407109,2301827,11163462,16941820,30198352,27312497,1999969,885886,21151104,15503239
Illinois,2016,32167833,2331724,12053316,17782793,32148981,29223830,2015647,909504,20860542,15520587
Texas,2014,52609018,5643178,20510815,26455025,52931107,42851117,5766846,4313144,70838845,27364120
Texas,2015,55408404,5830972,20967429,28610003,56084388,44675233,6765205,4643950,75592342,30006954
California,2014,69857908,7415061,38410554,24032293,69336590,60715787,6124103,2496700,56060457,30475968
Teas,2016,58102045,5953348,22004299,30144398,59129657,45886733,8332612,4910312,78626885,32557172
California,2015,75394798,7556365,42360470,25477963,75165373,66208111,6373893,2583369,59761653,35547749
California,2016,86557167,7709079,50904567,27943521,82153002,72641244,6786142,2725616,63166228,42281483
Alaska,2016,2494680,307320,1613675,573685,2623014,2327151,255041,40822,1372527,
District of Columbia,2016,1329719,154922,,1174797,1322563,1007280,315283,0,0,
Hawaii,2016,3030519,261131,2710361,59027,2733094,2516444,216650,0,0,
